"Date","Price","Open","High","Low","Change %"
"Mar 18, 2019","7.480","7.477","7.486","7.452","-0.29%"
"Mar 15, 2019","7.502","7.558","7.561","7.500","-0.68%"
"Mar 14, 2019","7.553","7.590","7.590","7.536","0.07%"
"Mar 13, 2019","7.548","7.534","7.553","7.523","0.47%"
"Mar 12, 2019","7.513","7.527","7.536","7.493","0.01%"
"Mar 11, 2019","7.512","7.540","7.542","7.503","-0.27%"
"Mar 08, 2019","7.532","7.565","7.571","7.524","-0.63%"
"Mar 07, 2019","7.580","7.575","7.580","7.561","0.11%"
"Mar 06, 2019","7.572","7.554","7.587","7.548","0.21%"
"Mar 05, 2019","7.556","7.550","7.561","7.530","0.00%"
"Mar 01, 2019","7.556","7.588","7.589","7.545","-0.46%"
"Feb 28, 2019","7.591","7.679","7.679","7.591","-1.06%"
"Feb 27, 2019","7.672","7.608","7.699","7.591","1.12%"
"Feb 26, 2019","7.587","7.624","7.624","7.578","0.04%"
"Feb 25, 2019","7.584","7.591","7.611","7.582","-0.28%"
"Feb 22, 2019","7.605","7.544","7.610","7.544","0.81%"
"Feb 21, 2019","7.544","7.573","7.573","7.543","-0.01%"
"Feb 20, 2019","7.545","7.571","7.572","7.541","-0.46%"
"Feb 18, 2019","7.580","7.601","7.601","7.565","0.04%"
"Feb 15, 2019","7.577","7.539","7.584","7.534","0.74%"
"Feb 14, 2019","7.521","7.485","7.524","7.483","0.74%"
"Feb 13, 2019","7.466","7.469","7.479","7.436","-0.90%"
"Feb 12, 2019","7.534","7.540","7.540","7.510","0.07%"
"Feb 11, 2019","7.529","7.524","7.548","7.509","0.07%"
"Feb 08, 2019","7.524","7.488","7.531","7.459","0.31%"
"Feb 07, 2019","7.501","7.573","7.588","7.470","-0.85%"
"Feb 06, 2019","7.565","7.602","7.602","7.565","-0.66%"
"Feb 05, 2019","7.615","7.669","7.672","7.609","-0.74%"
"Feb 04, 2019","7.672","7.650","7.674","7.632","0.81%"
"Feb 01, 2019","7.610","7.470","7.651","7.425","1.70%"
"Jan 31, 2019","7.483","7.532","7.551","7.482","-0.90%"
"Jan 30, 2019","7.551","7.541","7.556","7.533","0.35%"
"Jan 29, 2019","7.525","7.533","7.551","7.522","-0.21%"
"Jan 28, 2019","7.541","7.558","7.562","7.535","-0.07%"
"Jan 25, 2019","7.546","7.578","7.578","7.524","-0.15%"
"Jan 24, 2019","7.557","7.569","7.604","7.555","-0.26%"
"Jan 23, 2019","7.577","7.520","7.585","7.511","0.58%"
"Jan 22, 2019","7.533","7.552","7.555","7.516","-0.48%"
"Jan 21, 2019","7.569","7.628","7.650","7.545","-0.36%"
"Jan 18, 2019","7.596","7.593","7.609","7.567","0.62%"
"Jan 17, 2019","7.549","7.573","7.587","7.533","-0.19%"
"Jan 16, 2019","7.563","7.479","7.577","7.465","1.20%"
"Jan 15, 2019","7.473","7.472","7.490","7.457","0.57%"
"Jan 14, 2019","7.431","7.474","7.474","7.423","-0.96%"
"Jan 11, 2019","7.503","7.479","7.519","7.449","0.36%"
"Jan 10, 2019","7.476","7.488","7.516","7.466","0.08%"
"Jan 09, 2019","7.470","7.476","7.482","7.444","0.21%"
"Jan 08, 2019","7.454","7.503","7.534","7.439","-0.72%"
"Jan 07, 2019","7.508","7.467","7.519","7.439","0.81%"
"Jan 04, 2019","7.448","7.407","7.475","7.406","0.28%"
"Jan 03, 2019","7.427","7.397","7.433","7.381","0.99%"
"Jan 02, 2019","7.354","7.409","7.415","7.350","-0.86%"
"Jan 01, 2019","7.418","7.401","7.447","7.385","0.65%"
"Dec 31, 2018","7.370","7.368","7.389","7.339","-0.28%"
"Dec 28, 2018","7.391","7.274","7.393","7.266","1.57%"
"Dec 27, 2018","7.277","7.307","7.307","7.235","0.19%"
"Dec 26, 2018","7.263","7.249","7.267","7.228","-0.33%"
"Dec 24, 2018","7.287","7.298","7.306","7.278","0.15%"
"Dec 21, 2018","7.276","7.269","7.316","7.259","0.06%"
"Dec 20, 2018","7.272","7.253","7.275","7.233","0.73%"
"Dec 19, 2018","7.219","7.241","7.288","7.218","-1.72%"
"Dec 18, 2018","7.345","7.427","7.438","7.345","-1.55%"
"Dec 17, 2018","7.461","7.443","7.463","7.423","0.27%"
"Dec 14, 2018","7.441","7.429","7.464","7.425","0.45%"
"Dec 13, 2018","7.408","7.389","7.437","7.382","-0.04%"
"Dec 12, 2018","7.411","7.476","7.479","7.410","-1.55%"
"Dec 11, 2018","7.528","7.695","7.703","7.512","-0.78%"
"Dec 10, 2018","7.587","7.505","7.598","7.493","1.65%"
"Dec 07, 2018","7.464","7.401","7.480","7.389","0.55%"
"Dec 06, 2018","7.423","7.412","7.443","7.371","-0.23%"
"Dec 05, 2018","7.440","7.562","7.573","7.435","-1.77%"
"Dec 04, 2018","7.574","7.618","7.618","7.566","-0.68%"
"Dec 03, 2018","7.626","7.646","7.653","7.616","0.25%"
"Nov 30, 2018","7.607","7.627","7.630","7.596","-0.01%"
"Nov 29, 2018","7.608","7.620","7.620","7.576","-0.47%"
"Nov 28, 2018","7.644","7.688","7.698","7.644","-1.16%"
"Nov 27, 2018","7.734","7.747","7.750","7.713","0.10%"
"Nov 26, 2018","7.726","7.677","7.738","7.677","0.21%"
"Nov 22, 2018","7.710","7.754","7.767","7.704","-1.05%"
"Nov 20, 2018","7.792","7.767","7.795","7.756","0.01%"
"Nov 19, 2018","7.791","7.820","7.836","7.789","-0.31%"
"Nov 16, 2018","7.815","7.775","7.816","7.768","0.76%"
"Nov 15, 2018","7.756","7.736","7.760","7.734","0.30%"
"Nov 14, 2018","7.733","7.724","7.748","7.707","-0.37%"
"Nov 13, 2018","7.762","7.777","7.783","7.757","-0.54%"
"Nov 12, 2018","7.804","7.789","7.821","7.788","0.50%"
"Nov 09, 2018","7.765","7.766","7.781","7.757","-0.40%"
"Nov 06, 2018","7.796","7.801","7.811","7.791","-0.15%"
"Nov 05, 2018","7.808","7.799","7.812","7.791","0.35%"
"Nov 02, 2018","7.781","7.785","7.793","7.752","-0.54%"
"Nov 01, 2018","7.823","7.831","7.840","7.820","-0.38%"
"Oct 31, 2018","7.853","7.881","7.893","7.846","0.24%"
"Oct 30, 2018","7.834","7.825","7.840","7.818","0.31%"
"Oct 29, 2018","7.810","7.836","7.836","7.797","-0.85%"
"Oct 26, 2018","7.877","7.885","7.891","7.861","0.13%"
"Oct 25, 2018","7.867","7.864","7.885","7.845","-0.06%"
"Oct 24, 2018","7.872","7.852","7.878","7.830","-0.28%"
"Oct 23, 2018","7.894","7.937","7.938","7.880","-0.45%"
"Oct 22, 2018","7.930","7.935","7.935","7.892","0.11%"
"Oct 19, 2018","7.921","7.891","7.927","7.880","0.15%"
"Oct 17, 2018","7.909","7.885","7.926","7.863","0.47%"
"Oct 16, 2018","7.872","7.946","7.954","7.870","-0.62%"
"Oct 15, 2018","7.921","7.962","7.983","7.921","-0.79%"
"Oct 12, 2018","7.984","7.971","8.008","7.963","-0.03%"
"Oct 11, 2018","7.986","8.001","8.023","7.978","-0.56%"
"Oct 10, 2018","8.031","8.049","8.071","8.027","-0.56%"
"Oct 09, 2018","8.076","7.989","8.092","7.989","1.28%"
"Oct 08, 2018","7.974","7.989","8.017","7.968","-0.62%"
"Oct 05, 2018","8.024","8.158","8.165","8.024","-1.64%"
"Oct 04, 2018","8.158","8.193","8.210","8.155","0.57%"
"Oct 03, 2018","8.112","8.057","8.115","8.031","1.55%"
"Oct 01, 2018","7.988","7.923","7.997","7.923","-0.45%"
"Sep 28, 2018","8.024","8.042","8.053","8.015","-0.04%"
"Sep 27, 2018","8.027","8.043","8.073","8.024","-0.56%"
"Sep 26, 2018","8.072","8.124","8.124","8.063","-0.65%"
"Sep 25, 2018","8.125","8.131","8.141","8.113","0.04%"
"Sep 24, 2018","8.122","8.094","8.130","8.074","0.57%"
"Sep 21, 2018","8.076","8.031","8.135","8.017","0.02%"
"Sep 19, 2018","8.074","8.124","8.134","8.067","-0.81%"
"Sep 18, 2018","8.140","8.106","8.143","8.043","0.52%"
"Sep 17, 2018","8.098","8.164","8.184","8.090","-0.32%"
"Sep 16, 2018","8.124","8.143","8.148","8.121","-0.04%"
"Sep 14, 2018","8.127","8.093","8.131","8.091","-0.09%"
"Sep 12, 2018","8.134","8.218","8.231","8.121","-0.59%"
"Sep 11, 2018","8.182","8.155","8.189","8.134","0.29%"
"Sep 10, 2018","8.158","8.069","8.158","8.069","1.58%"
"Sep 07, 2018","8.031","8.050","8.050","8.011","-0.31%"
"Sep 06, 2018","8.056","8.038","8.085","8.033","0.09%"
"Sep 05, 2018","8.049","8.043","8.110","8.033","-0.16%"
"Sep 04, 2018","8.062","8.006","8.069","7.986","0.79%"
"Sep 03, 2018","7.999","7.940","8.000","7.917","0.60%"
"Aug 31, 2018","7.951","7.951","7.958","7.937","0.26%"
"Aug 30, 2018","7.930","7.930","7.941","7.914","0.15%"
"Aug 29, 2018","7.918","7.914","7.920","7.895","0.29%"
"Aug 28, 2018","7.895","7.892","7.921","7.892","0.01%"
"Aug 27, 2018","7.894","7.865","7.898","7.860","0.29%"
"Aug 24, 2018","7.871","7.895","7.900","7.871","-0.10%"
"Aug 23, 2018","7.879","7.878","7.879","7.861","0.66%"
"Aug 21, 2018","7.827","7.834","7.834","7.814","-0.14%"
"Aug 20, 2018","7.838","7.836","7.842","7.826","-0.29%"
"Aug 16, 2018","7.861","7.849","7.876","7.839","0.55%"
"Aug 14, 2018","7.818","7.800","7.824","7.795","-0.06%"
"Aug 13, 2018","7.823","7.807","7.825","7.789","0.89%"
"Aug 10, 2018","7.754","7.743","7.759","7.737","0.12%"
"Aug 09, 2018","7.745","7.754","7.762","7.740","-0.48%"
"Aug 08, 2018","7.782","7.792","7.793","7.776","-0.05%"
"Aug 07, 2018","7.786","7.772","7.787","7.757","0.23%"
"Aug 06, 2018","7.768","7.754","7.773","7.747","0.06%"
"Aug 03, 2018","7.763","7.742","7.771","7.739","0.54%"
"Aug 02, 2018","7.721","7.698","7.732","7.681","0.26%"
"Aug 01, 2018","7.701","7.767","7.841","7.701","-0.91%"
"Jul 31, 2018","7.772","7.797","7.797","7.769","-0.23%"
"Jul 30, 2018","7.790","7.780","7.799","7.776","0.13%"
"Jul 27, 2018","7.780","7.766","7.788","7.762","0.27%"
"Jul 26, 2018","7.759","7.806","7.806","7.756","-0.33%"
"Jul 25, 2018","7.785","7.807","7.811","7.782","0.01%"
"Jul 24, 2018","7.784","7.806","7.815","7.778","-0.33%"
"Jul 23, 2018","7.810","7.788","7.819","7.774","0.32%"
"Jul 20, 2018","7.785","7.787","7.797","7.772","0.00%"
"Jul 19, 2018","7.785","7.782","7.785","7.764","0.43%"
"Jul 18, 2018","7.752","7.725","7.759","7.723","0.08%"
"Jul 17, 2018","7.746","7.763","7.764","7.729","-0.69%"
"Jul 16, 2018","7.800","7.820","7.848","7.797","0.12%"
"Jul 13, 2018","7.791","7.791","7.802","7.770","0.14%"
"Jul 12, 2018","7.780","7.826","7.842","7.778","-1.17%"
"Jul 11, 2018","7.872","7.897","7.914","7.864","-0.35%"
"Jul 10, 2018","7.900","7.907","7.912","7.893","0.13%"
"Jul 09, 2018","7.890","7.871","7.892","7.866","0.25%"
"Jul 06, 2018","7.870","7.890","7.901","7.869","-0.34%"
"Jul 05, 2018","7.897","7.849","7.900","7.841","0.57%"
"Jul 04, 2018","7.852","7.878","7.916","7.836","-0.39%"
"Jul 03, 2018","7.883","7.905","7.906","7.877","-0.37%"
"Jul 02, 2018","7.912","7.889","7.917","7.867","0.11%"
"Jun 29, 2018","7.903","7.922","7.922","7.869","-0.40%"
"Jun 28, 2018","7.935","7.904","7.942","7.900","0.81%"
"Jun 27, 2018","7.871","7.870","7.878","7.857","0.54%"
"Jun 26, 2018","7.829","7.839","7.849","7.807","0.06%"
"Jun 25, 2018","7.824","7.814","7.859","7.805","0.06%"
"Jun 22, 2018","7.819","7.789","7.841","7.771","0.60%"
"Jun 21, 2018","7.772","7.798","7.812","7.769","-0.70%"
"Jun 20, 2018","7.827","7.805","7.850","7.804","-0.46%"
"Jun 19, 2018","7.863","7.921","7.921","7.855","-0.18%"
"Jun 18, 2018","7.877","7.832","7.882","7.818","-0.15%"
"Jun 15, 2018","7.889","7.930","7.943","7.880","-0.70%"
"Jun 14, 2018","7.945","7.946","7.955","7.900","0.19%"
"Jun 13, 2018","7.930","7.966","7.968","7.919","-0.45%"
"Jun 12, 2018","7.966","7.972","7.992","7.965","0.04%"
"Jun 11, 2018","7.963","7.977","8.000","7.946","0.20%"
"Jun 08, 2018","7.947","7.997","7.997","7.918","-0.58%"
"Jun 07, 2018","7.993","7.939","7.993","7.937","0.96%"
"Jun 06, 2018","7.917","7.852","7.934","7.827","1.06%"
"Jun 05, 2018","7.834","7.860","7.874","7.823","-0.53%"
"Jun 04, 2018","7.876","7.868","7.902","7.852","0.36%"
"Jun 01, 2018","7.848","7.860","7.877","7.848","0.28%"
"May 31, 2018","7.826","7.823","7.851","7.816","0.57%"
"May 30, 2018","7.782","7.742","7.785","7.721","0.34%"
"May 29, 2018","7.756","7.761","7.792","7.753","0.22%"
"May 28, 2018","7.739","7.733","7.774","7.721","-0.71%"
"May 25, 2018","7.794","7.864","7.888","7.793","-0.98%"
"May 24, 2018","7.871","7.845","7.884","7.838","0.28%"
"May 23, 2018","7.849","7.835","7.868","7.827","0.51%"
"May 22, 2018","7.809","7.818","7.847","7.787","0.00%"
"May 21, 2018","7.809","7.901","7.901","7.802","-0.33%"
"May 20, 2018","7.835","7.835","7.835","7.835","0.00%"
"May 18, 2018","7.835","7.903","7.927","7.760","-0.57%"
"May 17, 2018","7.880","7.922","7.944","7.879","-0.28%"
"May 16, 2018","7.902","7.919","7.945","7.871","-0.01%"
"May 15, 2018","7.903","7.906","7.913","7.814","0.98%"
"May 14, 2018","7.826","7.720","7.829","7.708","1.29%"
"May 11, 2018","7.726","7.711","7.757","7.701","0.14%"
"May 10, 2018","7.715","7.715","7.761","7.715","0.08%"
"May 09, 2018","7.709","7.652","7.721","7.648","1.70%"
"May 08, 2018","7.580","7.636","7.655","7.553","-0.55%"
"May 07, 2018","7.622","7.601","7.655","7.601","-1.37%"
"May 04, 2018","7.728","7.748","7.759","7.723","-0.08%"
"May 03, 2018","7.734","7.736","7.746","7.683","0.01%"
"May 02, 2018","7.733","7.731","7.742","7.702","-0.44%"
"Apr 27, 2018","7.767","7.746","7.773","7.740","0.15%"
"Apr 26, 2018","7.755","7.749","7.785","7.723","0.22%"
"Apr 25, 2018","7.738","7.714","7.779","7.701","0.72%"
"Apr 24, 2018","7.683","7.738","7.741","7.642","-0.74%"
"Apr 23, 2018","7.740","7.731","7.769","7.672","0.29%"
"Apr 20, 2018","7.718","7.785","7.797","7.655","1.14%"
"Apr 19, 2018","7.631","7.602","7.651","7.588","1.26%"
"Apr 18, 2018","7.536","7.492","7.536","7.478","0.63%"
"Apr 17, 2018","7.489","7.483","7.509","7.471","0.04%"
"Apr 16, 2018","7.486","7.404","7.490","7.404","0.74%"
"Apr 13, 2018","7.431","7.503","7.522","7.423","-0.50%"
"Apr 12, 2018","7.468","7.512","7.527","7.443","-0.90%"
"Apr 11, 2018","7.536","7.423","7.542","7.386","2.13%"
"Apr 10, 2018","7.379","7.247","7.379","7.247","2.12%"
"Apr 09, 2018","7.226","7.204","7.239","7.153","0.71%"
"Apr 06, 2018","7.175","7.146","7.179","7.139","0.67%"
"Apr 05, 2018","7.127","7.306","7.306","7.123","-2.29%"
"Apr 04, 2018","7.294","7.339","7.345","7.291","-0.52%"
"Apr 03, 2018","7.332","7.333","7.367","7.312","-0.89%"
"Mar 28, 2018","7.398","7.313","7.412","7.286","0.89%"
"Mar 27, 2018","7.333","7.371","7.398","7.302","-3.80%"
"Mar 26, 2018","7.623","7.577","7.630","7.574","0.87%"
"Mar 23, 2018","7.557","7.533","7.562","7.521","-0.04%"
"Mar 22, 2018","7.560","7.581","7.615","7.548","-0.28%"
"Mar 21, 2018","7.581","7.660","7.677","7.579","-0.45%"
"Mar 20, 2018","7.615","7.604","7.628","7.595","0.09%"
"Mar 19, 2018","7.608","7.585","7.613","7.542","0.67%"
"Mar 16, 2018","7.557","7.640","7.648","7.557","-1.00%"
"Mar 15, 2018","7.633","7.672","7.711","7.625","-0.68%"
"Mar 14, 2018","7.685","7.646","7.693","7.643","0.42%"
"Mar 13, 2018","7.653","7.607","7.665","7.604","0.31%"
"Mar 12, 2018","7.629","7.697","7.700","7.620","-0.55%"
"Mar 09, 2018","7.671","7.652","7.729","7.634","0.12%"
"Mar 08, 2018","7.662","7.679","7.713","7.652","-0.21%"
"Mar 07, 2018","7.678","7.769","7.769","7.678","-1.25%"
"Mar 06, 2018","7.775","7.800","7.800","7.758","-0.01%"
"Mar 05, 2018","7.776","7.755","7.783","7.741","0.49%"
"Mar 01, 2018","7.738","7.726","7.776","7.696","0.16%"
"Feb 28, 2018","7.726","7.696","7.726","7.673","0.78%"
"Feb 27, 2018","7.666","7.708","7.717","7.657","-0.29%"
"Feb 26, 2018","7.688","7.657","7.708","7.657","0.27%"
"Feb 23, 2018","7.667","7.760","7.760","7.667","-1.02%"
"Feb 22, 2018","7.746","7.816","7.816","7.724","0.47%"
"Feb 21, 2018","7.710","7.677","7.710","7.657","0.55%"
"Feb 20, 2018","7.668","7.606","7.694","7.603","1.12%"
"Feb 18, 2018","7.583","7.583","7.583","7.583","0.08%"
"Feb 16, 2018","7.577","7.576","7.597","7.571","0.12%"
"Feb 15, 2018","7.568","7.567","7.611","7.547","1.03%"
"Feb 14, 2018","7.491","7.453","7.509","7.449","-0.07%"
"Feb 12, 2018","7.496","7.470","7.525","7.449","0.08%"
"Feb 09, 2018","7.490","7.458","7.524","7.452","0.32%"
"Feb 08, 2018","7.466","7.506","7.522","7.466","-0.86%"
"Feb 07, 2018","7.531","7.583","7.620","7.496","-0.49%"
"Feb 06, 2018","7.568","7.562","7.616","7.538","-0.49%"
"Feb 05, 2018","7.605","7.620","7.620","7.572","0.57%"
"Feb 02, 2018","7.562","7.679","7.689","7.509","-0.57%"
"Feb 01, 2018","7.605","7.446","7.625","7.399","2.36%"
"Jan 31, 2018","7.430","7.423","7.439","7.402","-0.05%"
"Jan 30, 2018","7.434","7.440","7.478","7.418","-0.09%"
"Jan 29, 2018","7.441","7.322","7.444","7.295","1.83%"
"Jan 25, 2018","7.307","7.312","7.341","7.299","0.43%"
"Jan 24, 2018","7.276","7.265","7.282","7.243","-1.85%"
"Jan 23, 2018","7.413","7.490","7.490","7.407","-0.66%"
"Jan 22, 2018","7.462","7.498","7.509","7.453","-0.23%"
"Jan 19, 2018","7.479","7.479","7.486","7.451","0.11%"
"Jan 18, 2018","7.471","7.447","7.479","7.436","0.76%"
"Jan 17, 2018","7.415","7.547","7.552","7.374","-1.81%"
"Jan 16, 2018","7.552","7.504","7.587","7.482","1.46%"
"Jan 15, 2018","7.443","7.471","7.471","7.438","-0.16%"
"Jan 12, 2018","7.455","7.443","7.482","7.404","0.26%"
"Jan 11, 2018","7.436","7.419","7.456","7.406","-0.07%"
"Jan 10, 2018","7.441","7.411","7.454","7.411","1.00%"
"Jan 09, 2018","7.367","7.360","7.377","7.341","0.31%"
"Jan 08, 2018","7.344","7.285","7.348","7.279","0.77%"
"Jan 05, 2018","7.288","7.331","7.343","7.281","-0.59%"
"Jan 04, 2018","7.331","7.346","7.365","7.328","0.12%"
"Jan 03, 2018","7.322","7.405","7.423","7.320","-0.84%"
"Jan 02, 2018","7.384","7.341","7.399","7.341","0.64%"
"Jan 01, 2018","7.337","7.349","7.363","7.315","0.15%"
